date_mutation,valeur_fonciere,code_postal,type_local,surface_m2,nb_pieces,surface_terrain,arrondissement,prix_m2
09/01/2024,430000.0,75018,Appartement,52.0,2.0,,18,8269.0
09/01/2024,430000.0,75018,Appartement,50.0,2.0,,18,8600.0
09/01/2024,616910.0,75019,Appartement,80.0,3.0,,19,7711.0
02/01/2024,50000.0,75020,Appartement,11.0,1.0,,20,4545.0
10/01/2024,386100.0,75010,Appartement,37.0,2.0,,10,10435.0
11/01/2024,40000.0,75020,Appartement,25.0,2.0,,20,1600.0
09/01/2024,340000.0,75008,Appartement,45.0,2.0,,8,7556.0
05/01/2024,1022600.0,75009,Appartement,83.0,3.0,,9,12320.0
04/01/2024,130331.0,75003,Appartement,11.0,1.0,,3,11848.0
08/01/2024,322000.0,75018,Appartement,37.0,2.0,,18,8703.0
09/01/2024,241000.0,75018,Appartement,36.0,2.0,,18,6694.0
09/01/2024,441800.0,75009,Appartement,50.0,2.0,,9,8836.0
12/01/2024,185000.0,75017,Appartement,14.0,1.0,,17,13214.0
09/01/2024,290000.0,75020,Appartement,35.0,2.0,,20,8286.0
15/01/2024,455000.0,75018,Local industriel. commercial ou assimilé,77.0,0.0,,18,5909.0
15/01/2024,470000.0,75010,Appartement,46.0,2.0,,10,10217.0
08/01/2024,1115000.0,75004,Appartement,85.0,4.0,,4,13118.0
09/01/2024,293000.0,75018,Appartement,28.0,2.0,,18,10464.0
04/01/2024,522000.0,75009,Appartement,40.0,2.0,,9,13050.0
15/01/2024,362400.0,75010,Appartement,40.0,2.0,,10,9060.0
10/01/2024,527000.0,75008,Appartement,41.0,1.0,,8,12854.0
12/01/2024,615000.0,75010,Appartement,72.0,4.0,,10,8542.0
09/01/2024,1590000.0,75002,Local industriel. commercial ou assimilé,356.0,0.0,,2,4466.0
10/01/2024,310000.0,75020,Appartement,41.0,2.0,,20,7561.0
12/01/2024,590000.0,75008,Appartement,39.0,1.0,,8,15128.0
12/01/2024,158600.0,75018,Appartement,17.0,1.0,,18,9329.0
04/01/2024,140080.0,75009,Local industriel. commercial ou assimilé,35.0,0.0,,9,4002.0
09/01/2024,515000.0,75003,Local industriel. commercial ou assimilé,58.0,0.0,,3,8879.0
11/01/2024,180000.0,75020,Appartement,41.0,1.0,,20,4390.0
05/01/2024,165000.0,75017,Appartement,24.0,1.0,,17,6875.0
12/01/2024,410000.0,75020,Appartement,71.0,3.0,,20,5775.0
03/01/2024,608000.0,75019,Appartement,85.0,4.0,,19,7153.0
04/01/2024,750700.0,75010,Appartement,84.0,4.0,,10,8937.0
15/01/2024,1632000.0,75009,Appartement,162.0,4.0,,9,10074.0
